Time	Unique Portal ID
2016-07-18 00:28:30 PDT	67
2016-07-18 00:28:51 PDT	68
2016-07-18 00:28:55 PDT	69
2016-07-18 00:29:03 PDT	70
2016-07-18 00:29:39 PDT	71
2016-07-18 00:30:21 PDT	72
2016-07-18 01:40:44 PDT	70
2016-07-18 01:40:47 PDT	70
2016-07-18 01:40:49 PDT	70
2016-07-18 01:40:55 PDT	70
2016-07-18 01:40:57 PDT	70
2016-07-18 01:41:00 PDT	70
2016-07-18 01:41:02 PDT	70
2016-07-18 01:41:11 PDT	70
2016-07-18 01:42:24 PDT	73
2016-07-18 01:44:56 PDT	74
2016-07-18 01:46:40 PDT	75
2016-07-18 01:46:52 PDT	75
2016-07-18 01:51:47 PDT	75
2016-07-18 01:52:30 PDT	75
2016-07-18 01:52:34 PDT	75
2016-07-18 01:52:37 PDT	75
2016-07-18 01:52:49 PDT	71
2016-07-18 01:57:34 PDT	70
2016-07-18 01:57:43 PDT	70
2016-07-18 01:59:33 PDT	76
2016-07-18 02:01:08 PDT	4
2016-07-18 02:02:40 PDT	77
2016-07-18 02:05:51 PDT	6
2016-07-18 02:07:18 PDT	7
2016-07-18 02:07:24 PDT	78
2016-07-18 02:07:36 PDT	8
2016-07-18 02:07:38 PDT	8
2016-07-18 02:07:41 PDT	8
2016-07-18 02:07:43 PDT	8
2016-07-18 02:07:44 PDT	8
2016-07-18 02:07:47 PDT	8
2016-07-18 02:07:49 PDT	8
2016-07-18 02:07:51 PDT	8
2016-07-18 02:08:02 PDT	8
2016-07-18 02:08:08 PDT	8
2016-07-18 02:08:18 PDT	9
2016-07-18 02:10:11 PDT	11
2016-07-18 02:11:25 PDT	5
2016-07-18 02:16:48 PDT	56
2016-07-18 02:17:04 PDT	56
2016-07-18 02:17:23 PDT	2
2016-07-18 02:18:40 PDT	1
2016-07-18 02:18:49 PDT	3
2016-07-20 03:46:55 PDT	79
2016-07-20 03:51:28 PDT	80
2016-07-20 03:54:35 PDT	81
2016-07-20 03:55:29 PDT	82
2016-07-20 03:56:37 PDT	83
2016-07-20 03:56:42 PDT	84
2016-07-20 03:56:45 PDT	85
2016-07-20 04:18:42 PDT	3
2016-07-20 04:18:45 PDT	1
2016-07-21 01:00:34 PDT	86
2016-07-21 01:01:32 PDT	12
2016-07-21 01:03:06 PDT	87
2016-07-21 01:03:09 PDT	87
2016-07-21 01:03:11 PDT	87
2016-07-21 01:03:13 PDT	87
2016-07-21 01:03:19 PDT	87
2016-07-21 01:03:21 PDT	87
2016-07-21 01:03:24 PDT	87
2016-07-21 01:03:31 PDT	87
2016-07-21 01:03:35 PDT	87
2016-07-21 01:07:09 PDT	88
2016-07-21 01:09:43 PDT	88
2016-07-21 01:09:49 PDT	88
2016-07-21 01:09:51 PDT	88
2016-07-21 01:09:54 PDT	88
2016-07-21 01:09:59 PDT	88
2016-07-21 01:10:01 PDT	88
2016-07-21 01:10:06 PDT	88
2016-07-21 01:10:09 PDT	88
2016-07-21 01:10:26 PDT	88
2016-07-21 01:12:11 PDT	89
2016-07-21 01:12:50 PDT	90
2016-07-21 01:12:56 PDT	91
2016-07-21 01:14:15 PDT	92
2016-07-21 01:30:02 PDT	90
2016-07-21 01:37:51 PDT	90
2016-07-21 01:40:26 PDT	90
2016-07-21 01:40:50 PDT	90
2016-07-21 01:40:57 PDT	90
2016-07-21 01:41:03 PDT	90
2016-07-21 01:41:06 PDT	90
2016-07-21 01:41:08 PDT	90
2016-07-21 01:41:12 PDT	90
2016-07-21 01:41:16 PDT	90
2016-07-21 01:41:35 PDT	90
2016-07-21 01:42:57 PDT	90
2016-07-21 01:53:02 PDT	87
2016-07-21 01:53:38 PDT	86
2016-07-21 01:54:11 PDT	12
2016-07-21 03:50:50 PDT	81
2016-07-21 04:05:11 PDT	11
2016-07-21 04:05:24 PDT	11
2016-07-21 04:05:28 PDT	11
2016-07-21 04:05:30 PDT	11
2016-07-21 04:05:33 PDT	11
2016-07-21 04:05:35 PDT	11
2016-07-21 04:05:39 PDT	11
2016-07-21 04:05:41 PDT	11
2016-07-21 04:05:44 PDT	11
2016-07-21 04:06:03 PDT	11
2016-07-21 04:06:16 PDT	66
2016-07-21 04:06:19 PDT	66
2016-07-21 04:06:23 PDT	66
2016-07-21 04:06:27 PDT	66
2016-07-21 04:06:31 PDT	66
2016-07-21 04:06:33 PDT	66
2016-07-21 04:06:37 PDT	66
2016-07-21 04:06:45 PDT	66
2016-07-21 04:07:07 PDT	66
2016-07-21 04:07:16 PDT	11
2016-07-21 04:07:47 PDT	66
2016-07-21 04:11:12 PDT	56
2016-07-21 04:11:31 PDT	56
2016-07-21 04:11:49 PDT	2
2016-07-21 04:12:24 PDT	1
2016-07-21 04:12:34 PDT	3
2016-07-21 21:36:12 PDT	3
2016-07-21 21:49:23 PDT	7
