"Candidate ID","Assigned Time","Comment","Rating for Cultural","Rating for Text","Is Duplicate","Duplicate of Portal","Rating for Location","Suggested Location","Rating for Quality","Rating for Safety","One Star Submission","Time","Rating for Uniqueness","What is it?"
"f8a56a206e2a97ea344bb49b8498fbf6","2017-10-04 06:05:22 GMT","","3","5","false","","5","","4","4","false","2017-10-04 06:05:50 GMT","5",""
"3cbe85b329b83fe2d2de023c9e5f40bf","2017-10-04 06:06:10 GMT","","4","4","false","","5","","5","5","false","2017-10-04 06:06:50 GMT","5",""
"31409ddf82d050b8865bee4e42ca0c60","2017-10-04 06:06:55 GMT","","","","false","","","","","","true","2017-10-04 06:07:09 GMT","",""
"47fe8e0b4458bf895ed11ae9dfa2c3a9","2017-10-04 06:07:13 GMT","","","","false","","","","","","true","2017-10-04 06:07:19 GMT","",""
"5c66e17b99dddd85e77c1dac54935e7d","2017-10-04 06:07:26 GMT","","3","5","false","","1","","5","3","false","2017-10-04 06:08:18 GMT","4",""
"5550493404a482ded32f352e8facb4a7","2017-10-04 06:08:29 GMT","","5","5","false","","5","","5","5","false","2017-10-04 06:08:46 GMT","5",""
"991a2503b569d0d72e3377e4381e2f19","2017-10-04 06:08:51 GMT","","5","5","false","","5","","5","5","false","2017-10-04 06:09:19 GMT","5",""
"60e47265825dfcfff0528894e13cfe43","2017-10-04 06:09:24 GMT","","","","false","","","","","","true","2017-10-04 06:09:49 GMT","",""
"9985571492de9d9c73f318b8c8b4fac4","2017-10-04 06:09:57 GMT","","","","true","10ff7fa571594b7c95c0394003909831.16","","","","","false","2017-10-04 06:10:21 GMT","",""
"2b9ae38445eb2710e4294449c1e5060b","2017-10-04 06:10:25 GMT","","5","5","false","","5","","5","5","false","2017-10-04 06:10:48 GMT","5",""
"a9954140abc7291d4ad5d6c19245b379","2017-10-04 06:11:45 GMT","","5","5","false","","5","","5","5","false","2017-10-04 06:12:15 GMT","5",""
"2855250fe46faa5f0a88d8ad1eb83212","2017-10-04 06:12:24 GMT","","3","5","false","","5","30.620011985956147, 120.552426855156","5","5","false","2017-10-04 06:13:11 GMT","3",""
"94e4e8e7b798a7ce8c630f19723b6331","2017-10-05 03:01:36 GMT","","5","5","false","","3","","5","3","false","2017-10-05 03:02:27 GMT","3",""
